epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.9252,1.68567,1.90056,1.72877,0.53893,0.58468,0.51306,0.22788,1.69722,1.75708,1.6866,0.000550997,0.000550997,0.000550997
2,173.957,1.55429,1.5255,1.65364,0.59137,0.64507,0.64236,0.33313,1.49268,1.35932,1.49037,0.00106284,0.00106284,0.00106284
3,261.696,1.53945,1.48337,1.66521,0.65308,0.66895,0.6555,0.29905,1.57357,1.26477,1.59364,0.00153067,0.00153067,0.00153067
4,365.79,1.49875,1.41407,1.64699,0.66357,0.72168,0.70183,0.357,1.55267,1.28937,1.58627,0.00146896,0.00146896,0.00146896
5,430.005,1.44981,1.36344,1.60531,0.66822,0.71138,0.71733,0.39007,1.5042,1.2673,1.48924,0.00140295,0.00140295,0.00140295
6,494.523,1.42891,1.32154,1.5967,0.75365,0.71236,0.77999,0.45201,1.41332,1.10407,1.41356,0.00133693,0.00133693,0.00133693
7,573.696,1.37894,1.23849,1.55196,0.78484,0.76426,0.84583,0.51054,1.47532,1.07634,1.49597,0.00127092,0.00127092,0.00127092
8,655.916,1.35021,1.20937,1.52726,0.78175,0.77172,0.83057,0.51519,1.36336,0.98693,1.38262,0.00120491,0.00120491,0.00120491
9,718.589,1.32168,1.16979,1.51136,0.83437,0.81343,0.87409,0.54913,1.38797,0.9566,1.37483,0.00113889,0.00113889,0.00113889
10,792.669,1.30502,1.14365,1.50416,0.84624,0.78232,0.86889,0.55547,1.35056,0.93863,1.42818,0.00107288,0.00107288,0.00107288
11,847.946,1.296,1.11717,1.50373,0.77863,0.79071,0.84374,0.51076,1.38388,0.94409,1.42935,0.00100687,0.00100687,0.00100687
12,903.197,1.27778,1.08662,1.48169,0.84574,0.84355,0.88765,0.58711,1.34392,0.90301,1.41942,0.000940855,0.000940855,0.000940855
13,958.372,1.2565,1.05892,1.46413,0.85385,0.86748,0.89891,0.59902,1.27503,0.81363,1.35632,0.000874842,0.000874842,0.000874842
14,1013.6,1.23084,1.02658,1.44844,0.83898,0.85407,0.88951,0.58278,1.307,0.83191,1.38719,0.000808828,0.000808828,0.000808828
15,1068.77,1.21777,1.00531,1.43716,0.87225,0.8629,0.90361,0.61161,1.27242,0.81639,1.33024,0.000742815,0.000742815,0.000742815
16,1143.37,1.21165,0.90814,1.46566,0.81275,0.86321,0.89876,0.59977,1.29797,0.82522,1.38025,0.000676802,0.000676802,0.000676802
17,1197.69,1.18851,0.86817,1.45068,0.86907,0.85825,0.89513,0.58565,1.35538,0.81614,1.47038,0.000610789,0.000610789,0.000610789
18,1252.05,1.15461,0.83482,1.41792,0.88131,0.86385,0.91738,0.59861,1.37469,0.79962,1.42791,0.000544776,0.000544776,0.000544776
19,1306.34,1.14379,0.80811,1.4137,0.88223,0.88583,0.92085,0.62851,1.24281,0.75078,1.30949,0.000478762,0.000478762,0.000478762
20,1365.6,1.11459,0.77727,1.39412,0.89989,0.89309,0.92517,0.64609,1.22401,0.72576,1.31621,0.000412749,0.000412749,0.000412749
21,1419.93,1.08349,0.73496,1.36478,0.90423,0.90822,0.92658,0.64429,1.22513,0.69592,1.33582,0.000346736,0.000346736,0.000346736
22,1474.4,1.05818,0.70629,1.35054,0.89453,0.89089,0.92311,0.63802,1.24686,0.70454,1.37104,0.000280723,0.000280723,0.000280723
23,1528.71,1.03547,0.68018,1.33115,0.90767,0.88944,0.92496,0.65729,1.21451,0.71533,1.33265,0.00021471,0.00021471,0.00021471
24,1583.12,1.00505,0.65657,1.3107,0.89985,0.90141,0.9246,0.66333,1.18312,0.68907,1.28889,0.000148696,0.000148696,0.000148696
25,1637.51,0.99361,0.64633,1.30454,0.90324,0.88433,0.92102,0.65116,1.23002,0.70221,1.33804,8.26832e-05,8.26832e-05,8.26832e-05
